 , ,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work
,,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
usual residence : 2011 super output area - middle layer,mnemonic,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004,S92000003,N92000002
Camden 001,E02000166,0,3,1,4,3,53,2821,42,9,3,5,0
Camden 002,E02000167,2,6,0,9,5,86,2956,47,7,1,2,0
Camden 003,E02000168,0,4,3,1,6,48,3264,58,10,1,1,0
Camden 004,E02000169,1,8,7,1,4,68,2510,40,6,3,0,2
Camden 005,E02000170,1,5,1,3,10,118,3803,62,5,2,8,0
Camden 006,E02000171,1,1,0,5,3,67,3112,43,10,2,1,0
Camden 007,E02000172,2,5,3,0,5,49,3237,49,7,0,2,0
Camden 008,E02000173,0,2,2,3,5,53,3249,66,3,3,3,0
Camden 009,E02000174,3,5,13,7,6,49,3523,46,13,1,3,2
Camden 010,E02000175,1,4,2,4,4,149,4300,81,12,0,5,0
Camden 011,E02000176,1,6,0,3,4,58,2942,54,8,2,2,0
Camden 012,E02000177,3,3,1,8,2,48,3202,59,6,0,5,0
Camden 013,E02000178,0,7,5,3,4,95,3844,65,6,2,4,0
Camden 014,E02000179,0,7,1,3,3,32,2265,35,0,1,1,0
Camden 015,E02000180,1,3,1,10,8,64,3010,33,6,2,2,1
Camden 016,E02000181,0,4,1,4,8,108,3787,82,9,0,3,0
Camden 017,E02000182,0,5,5,1,0,44,2308,39,6,2,1,0
Camden 018,E02000183,3,6,5,3,6,47,3022,55,7,0,5,1
Camden 019,E02000184,0,4,4,5,4,45,2991,59,4,3,2,0
Camden 020,E02000185,0,2,0,6,8,61,2894,53,6,0,3,0
Camden 021,E02000186,2,5,1,6,3,38,2688,38,5,0,4,0
Camden 022,E02000187,1,2,2,5,2,35,2321,29,2,1,0,0
Camden 023,E02000188,1,1,1,6,2,34,2342,37,6,2,0,1
Camden 024,E02000189,0,3,1,3,1,30,1659,24,1,1,1,1
Camden 025,E02000190,4,5,2,6,13,40,2078,47,6,1,1,0
Camden 026,E02000191,1,5,3,4,7,35,2315,63,5,2,3,0
Camden 027,E02000192,1,5,2,4,5,31,2704,40,8,4,1,0
Camden 028,E02000193,2,5,6,6,9,34,3075,41,5,2,5,0
City of London 001,E02000001,1,3,6,13,5,40,3657,54,9,2,6,2
Hackney 001,E02000345,0,0,2,3,1,24,2293,19,4,1,0,0
Hackney 002,E02000346,1,2,2,2,3,40,1763,21,7,0,1,0
Hackney 003,E02000347,0,3,3,1,4,42,2260,18,5,1,2,0
Hackney 004,E02000348,0,5,1,3,4,43,2135,20,4,1,1,0
Hackney 006,E02000350,1,2,1,2,11,58,3815,32,15,0,0,0
Hackney 007,E02000351,0,3,3,7,5,135,4140,59,13,5,2,1
Hackney 008,E02000352,2,2,2,3,3,40,2529,23,4,1,0,0
Hackney 009,E02000353,0,3,2,3,12,47,3491,46,2,1,1,0
Hackney 010,E02000354,1,0,11,13,3,47,3309,42,4,1,1,0
Hackney 011,E02000355,3,2,4,1,2,46,3182,37,3,0,4,0
Hackney 012,E02000356,0,8,1,4,3,45,3318,55,11,0,5,0
Hackney 013,E02000357,2,1,1,5,4,40,1618,24,5,3,2,0
Hackney 014,E02000358,1,5,4,6,5,85,4527,52,6,1,1,0
Hackney 015,E02000359,0,2,1,6,6,35,2344,26,3,1,1,0
Hackney 016,E02000360,0,9,4,7,5,78,3964,40,9,2,6,0
Hackney 017,E02000361,0,5,4,5,9,65,3192,40,9,1,2,1
Hackney 018,E02000362,0,1,3,1,2,44,2174,36,5,0,2,0
Hackney 019,E02000363,1,9,3,6,5,74,3127,55,8,0,1,2
Hackney 020,E02000364,0,9,4,10,5,55,3727,34,5,1,6,0
Hackney 021,E02000365,2,6,7,4,10,81,5756,80,15,1,2,0
Hackney 022,E02000366,0,6,2,9,7,55,2933,32,1,3,5,0
Hackney 023,E02000367,0,5,2,5,5,66,4215,43,5,2,2,2
Hackney 024,E02000368,2,7,2,6,7,57,3332,44,5,4,2,0
Hackney 025,E02000369,0,9,4,7,11,76,4490,62,11,2,3,0
Hackney 026,E02000370,0,7,7,1,4,49,3158,56,5,2,2,0
Hackney 027,E02000371,5,10,3,11,10,85,5484,74,15,1,3,0
Hackney 028,E02006918,1,1,2,6,4,45,2274,32,4,0,1,0
Hackney 029,E02006921,1,1,3,5,7,41,2059,19,7,0,2,0
Hammersmith and Fulham 001,E02000372,1,8,2,7,4,38,3253,37,8,0,1,1
Hammersmith and Fulham 002,E02000373,0,5,3,1,3,33,1957,35,4,2,2,0
Hammersmith and Fulham 003,E02000374,0,3,5,1,5,30,2570,84,10,2,0,0
Hammersmith and Fulham 004,E02000375,3,3,8,2,0,25,2928,72,7,1,2,0
Hammersmith and Fulham 005,E02000376,1,7,0,9,0,27,3173,80,7,0,1,0
Hammersmith and Fulham 006,E02000377,1,3,0,0,3,37,3414,96,12,4,4,0
Hammersmith and Fulham 007,E02000378,0,1,2,3,11,33,3099,130,13,0,2,0
Hammersmith and Fulham 008,E02000379,0,1,2,3,4,42,3026,123,5,1,1,0
Hammersmith and Fulham 009,E02000380,0,2,0,0,0,32,2494,93,5,2,2,0
Hammersmith and Fulham 010,E02000381,2,3,2,3,2,32,3409,118,11,2,4,0
Hammersmith and Fulham 011,E02000382,0,4,1,5,4,22,2466,89,4,0,2,0
Hammersmith and Fulham 012,E02000383,0,6,1,12,3,27,4082,128,10,2,3,0
Hammersmith and Fulham 013,E02000384,0,5,0,7,1,22,2907,99,5,0,2,0
Hammersmith and Fulham 014,E02000385,1,7,8,2,5,20,3367,121,4,1,1,1
Hammersmith and Fulham 015,E02000386,2,4,6,3,5,19,3196,95,14,0,2,0
Hammersmith and Fulham 016,E02000387,0,4,2,4,8,29,2699,71,4,2,0,0
Hammersmith and Fulham 017,E02000388,0,5,3,3,3,22,3864,134,7,0,3,0
Hammersmith and Fulham 018,E02000389,1,5,5,6,2,25,3530,123,11,1,0,0
Hammersmith and Fulham 019,E02000390,0,4,2,7,1,12,2886,79,6,3,1,0
Hammersmith and Fulham 020,E02000391,1,1,3,1,0,31,3197,80,4,1,3,1
Hammersmith and Fulham 021,E02000392,0,11,2,3,6,25,4357,117,14,1,6,0
Hammersmith and Fulham 022,E02000393,0,6,4,2,3,25,2976,118,7,1,2,0
Hammersmith and Fulham 023,E02000394,0,5,9,3,7,23,3156,88,3,0,1,0
Hammersmith and Fulham 024,E02000395,0,6,3,3,4,19,2609,100,6,2,0,0
Hammersmith and Fulham 025,E02000396,1,3,2,4,5,19,2672,95,3,0,1,0
Haringey 001,E02000397,1,3,3,2,13,97,2874,36,6,2,1,0
Haringey 002,E02000398,2,2,2,8,4,80,1771,15,4,1,2,1
Haringey 004,E02000400,1,2,10,4,2,103,2699,25,5,0,3,0
Haringey 005,E02000401,1,1,4,2,4,54,1781,21,5,1,0,0
Haringey 006,E02000402,0,2,4,2,2,53,1794,16,3,1,1,0
Haringey 007,E02000403,1,4,4,4,3,95,2763,28,10,2,3,0
Haringey 008,E02000404,0,1,1,3,2,66,2328,27,3,2,2,0
Haringey 009,E02000405,1,5,2,6,6,114,2527,36,9,0,4,0
Haringey 010,E02000406,1,5,1,5,2,70,2417,29,4,0,0,0
Haringey 011,E02000407,2,7,2,2,7,66,2027,20,4,0,1,0
Haringey 012,E02000408,0,4,4,2,2,65,2015,18,6,1,3,0
Haringey 013,E02000409,0,6,5,4,3,63,1944,25,3,0,1,1
Haringey 014,E02000410,0,4,5,3,4,90,2745,42,1,1,2,0
Haringey 015,E02000411,1,5,4,7,5,81,2246,28,6,6,2,0
Haringey 016,E02000412,1,11,0,8,2,66,2380,32,8,1,1,0
Haringey 017,E02000413,0,6,1,6,7,102,2671,53,5,1,0,0
Haringey 018,E02000414,8,6,2,3,8,72,2404,19,4,1,2,1
Haringey 019,E02000415,0,7,3,1,0,70,2557,30,5,0,2,0
Haringey 020,E02000416,0,6,3,4,0,93,2975,43,2,0,3,0
Haringey 021,E02000417,1,8,11,5,6,93,2790,39,11,0,1,0
Haringey 022,E02000418,0,8,1,5,3,72,2205,29,3,0,0,0
Haringey 023,E02000419,1,2,3,6,7,101,3344,38,7,5,3,0
Haringey 024,E02000420,0,8,5,3,1,39,2412,33,2,1,3,0
Haringey 025,E02000421,2,4,4,3,8,65,2226,31,6,0,1,0
Haringey 026,E02000422,1,14,3,5,4,71,2440,28,4,0,4,0
Haringey 027,E02000423,2,4,4,4,7,75,2761,28,5,0,0,0
Haringey 028,E02000424,0,9,4,7,8,95,3070,41,10,0,5,0
Haringey 029,E02000425,1,3,3,3,1,39,1878,20,2,1,0,0
Haringey 030,E02000426,1,6,2,9,7,78,2613,45,1,2,1,0
Haringey 031,E02000427,0,6,3,1,3,79,3063,33,6,1,2,0
Haringey 032,E02000428,1,2,6,1,3,54,2206,29,2,3,3,0
Haringey 033,E02000429,2,6,1,6,6,91,2989,36,7,2,1,1
Haringey 034,E02000430,1,2,2,6,2,136,3508,37,7,0,1,0
