UK SOC 2010 Code,Census Categories: Occupation,Occupation title,Exposure,Interaction,Location,Physical Activities,Tools/ Protective Equipment,Ability to homework score,Median hourly pay (£),Total in employment,Percentage of the workforce that are female(%),Percentage of the workforce that are aged 55+ (%),Percentage of the workforce that are BAME (%),% Working from home during Lockdown
1115,Chief Executives and Senior Officials,Chief executives and senior officials,0.23,0.3,0.29,0.19,0.22,1.23,44.08,108000,27.5,25,8.9,67.35
1121,Production Managers and Directors,Production managers and directors in manufacturing,0.55,0.19,0.6,0.34,0.6,2.27,22,320000,14,22.8,4.1,67.35
1122,Production Managers and Directors,Production managers and directors in construction,0.4,0.27,0.51,0.39,0.38,1.95,21.29,207000,11,19.4,4.1,67.35
1123,Production Managers and Directors,Production managers and directors in mining and energy,0.21,0.28,0.35,0.21,0.3,1.35,21.68,16000,17,11.3,9.1,67.35
1131,Functional Managers and Directors,Financial managers and directors,0.03,0.21,0.12,0.09,0.06,0.51,31.38,357000,41.7,18.7,10.2,67.35
1132,Functional Managers and Directors,Marketing and sales directors,0.08,0.28,0.26,0.13,0.08,0.83,37,279000,33.1,16.9,9.3,67.35
1133,Functional Managers and Directors,Purchasing managers and directors,0.27,0.29,0.47,0.28,0.45,1.77,24.48,65000,34,18.7,10.8,67.35
1134,Functional Managers and Directors,Advertising and public relations directors,0.05,0.25,0.27,0.13,0.09,0.8,29.29,42000,44.6,12.3,7.8,67.35
1135,Functional Managers and Directors,Human resource managers and directors,0.04,0.24,0.12,0.09,0.09,0.59,24.51,227000,60.2,16.2,8.1,67.35
1136,Functional Managers and Directors,Information technology and telecommunications directors,0.08,0.08,0.05,0.13,0.24,0.58,36.33,119000,12,14.9,9,67.35
1139,Functional Managers and Directors,Functional managers and directors n.e.c.,0.21,0.28,0.35,0.21,0.3,1.35,26.23,127000,44.3,24.6,5,67.35
1150,Financial Institution Managers and Directors,Financial institution managers and directors,0.12,0.28,0.16,0.15,0.18,0.9,24.77,92000,36,11.9,10.9,67.35
1161,Managers and Directors in Transport and Logistics,Managers and directors in transport and distribution,0.27,0.29,0.47,0.28,0.45,1.77,18.16,87000,18.7,19.4,7.4,67.35
1162,Managers and Directors in Transport and Logistics,Managers and directors in storage and warehousing,0.27,0.29,0.47,0.28,0.45,1.77,14.05,114000,22.8,15.4,11.7,67.35
1172,Senior Officers in Protective Services,Senior police officers,0.54,0.66,0.65,0.41,0.46,2.71,27.65,13000,32.3,11.1,x,67.35
1173,Senior Officers in Protective Services,"Senior officers in fire, ambulance, prison and related services",0.21,0.28,0.35,0.21,0.3,1.35,20.15,15000,9.6,19.1,x,67.35
1181,Health and Social Services Managers and Directors,Health services and public health managers and directors,0.11,0.32,0.04,0.17,0.13,0.77,25.32,76000,69.8,22.3,6.5,67.35
1184,Health and Social Services Managers and Directors,Social services managers and directors,0.12,0.53,0.26,0.17,0.16,1.23,19.62,34000,75.5,27.3,9.3,67.35
1190,Managers and Directors in Retail and Wholesale,Managers and directors in retail and wholesale,0.3,0.43,0.22,0.28,0.43,1.66,13.12,355000,34.7,13.7,9.3,67.35
