2011 super output area - middle layer,mnemonic,All categories: Occupation,111 Chief Executives and Senior Officials,112 Production Managers and Directors,113 Functional Managers and Directors,115 Financial Institution Managers and Directors,116 Managers and Directors in Transport and Logistics,117 Senior Officers in Protective Services,118 Health and Social Services Managers and Directors,119 Managers and Directors in Retail and Wholesale,121 Managers and Proprietors in Agriculture Related Services,122 Managers and Proprietors in Hospitality and Leisure Services,124 Managers and Proprietors in Health and Care Services,125 Managers and Proprietors in Other Services,211 Natural and Social Science Professionals,212 Engineering Professionals,213 Information Technology and Telecommunications Professionals,214 Conservation and Environment Professionals,215 Research and Development Managers,221 Health Professionals,222 Therapy Professionals,223 Nursing and Midwifery Professionals,231 Teaching and Educational Professionals,241 Legal Professionals,"242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors",244 Welfare Professionals,245 Librarians and Related Professionals,246 Quality and Regulatory Professionals,247 Media Professionals,"311 Science, Engineering and Production Technicians",312 Draughtspersons and Related Architectural Technicians,313 Information Technology Technicians,321 Health Associate Professionals,323 Welfare and Housing Associate Professionals,331 Protective Service Occupations,"341 Artistic, Literary and Media Occupations",342 Design Occupations,344 Sports and Fitness Occupations,351 Transport Associate Professionals,352 Legal Associate Professionals,"353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals",355 Conservation and Environmental associate professionals,356 Public Services and Other Associate Professionals,411 Administrative Occupations: Government and Related Organisations,412 Administrative Occupations: Finance,413 Administrative Occupations: Records,415 Other Administrative Occupations,416 Administrative Occupations: Office Managers and Supervisors,421 Secretarial and Related Occupations,511 Agricultural and Related Trades,"521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades",523 Vehicle Trades,524 Electrical and Electronic Trades,"525 Skilled Metal, Electrical and Electronic Trades Supervisors",531 Construction and Building Trades,532 Building Finishing Trades,533 Construction and Building Trades Supervisors,541 Textiles and Garments Trades,542 Printing Trades,543 Food Preparation and Hospitality Trades,544 Other Skilled Trades,612 Childcare and Related Personal Services,613 Animal Care and Control Services,614 Caring Personal Services,621 Leisure and Travel Services,622 Hairdressers and Related Services,623 Housekeeping and Related Services,624 Cleaning and Housekeeping Managers and Supervisors,711 Sales Assistants and Retail Cashiers,712 Sales Related Occupations,713 Sales Supervisors,721 Customer Service Occupations,722 Customer Service Managers and Supervisors,811 Process Operatives,812 Plant and Machine Operatives,813 Assemblers and Routine Operatives,814 Construction Operatives,821 Road Transport Drivers,822 Mobile Machine Drivers and Operatives,823 Other Drivers and Transport Operatives,911 Elementary Agricultural Occupations,912 Elementary Construction Occupations,913 Elementary Process Plant Occupations,921 Elementary Administration Occupations,923 Elementary Cleaning Occupations,924 Elementary Security Occupations,925 Elementary Sales Occupations,926 Elementary Storage Occupations,927 Other Elementary Services Occupations
Camden 001,E02000166,3928,50,44,149,40,6,4,16,47,1,56,7,136,41,23,101,3,8,137,65,55,267,146,176,91,32,18,5,142,9,9,13,25,49,12,358,73,22,0,11,98,146,1,52,45,50,35,65,27,117,19,1,6,5,16,0,42,17,2,11,3,32,7,102,1,62,18,17,35,1,112,16,6,26,7,4,6,7,5,47,2,5,2,6,2,24,40,33,5,12,81
Camden 002,E02000167,4296,83,53,291,137,9,0,8,54,0,50,6,213,43,37,148,0,11,204,56,38,248,309,243,80,21,18,5,165,5,5,10,20,18,11,397,60,26,3,12,270,189,1,48,30,47,17,63,14,69,15,1,1,0,11,0,19,5,2,0,0,22,5,61,3,26,26,15,36,1,45,22,5,19,5,2,10,4,1,10,1,3,2,0,0,5,16,14,0,5,33
Camden 003,E02000168,4463,23,33,183,33,3,0,22,35,1,63,6,110,39,35,144,6,13,140,53,32,314,172,228,111,40,19,10,230,14,10,29,14,39,9,477,92,31,2,10,120,165,2,74,59,63,50,73,17,116,13,2,5,3,30,4,34,12,4,7,5,55,13,95,2,47,22,25,21,2,142,21,16,28,5,4,4,5,13,44,1,5,2,7,4,18,34,24,9,10,102
Camden 004,E02000169,3582,59,48,292,142,5,2,10,69,2,42,3,184,31,28,115,3,4,128,35,11,178,193,246,55,19,6,7,91,3,6,6,11,17,4,170,43,28,2,12,261,182,0,39,16,57,15,71,11,79,8,0,2,2,12,2,17,7,0,2,0,37,6,61,3,25,17,19,61,7,84,8,6,12,4,4,2,5,1,12,1,4,3,2,0,12,32,6,3,6,46
Camden 005,E02000170,4976,40,51,225,60,16,2,10,68,0,77,6,156,40,43,220,1,6,161,37,50,311,217,388,71,26,15,12,180,18,10,30,22,25,13,265,71,40,1,16,274,261,0,69,43,94,41,93,17,122,12,1,4,6,16,3,62,7,3,9,4,57,7,85,2,49,35,36,36,8,117,23,4,60,11,2,5,5,12,46,1,1,3,7,3,16,54,25,5,12,108
Camden 006,E02000171,4210,24,41,217,59,10,0,13,51,0,57,6,134,44,47,151,4,12,201,40,50,291,181,217,101,24,16,12,177,22,11,16,20,30,5,341,51,27,3,11,177,201,1,59,40,42,36,68,21,99,12,1,10,5,12,0,35,16,7,2,3,48,10,79,8,54,29,12,11,3,112,19,11,23,7,2,6,3,7,45,1,4,0,10,2,22,34,19,1,6,58
Camden 007,E02000172,4208,12,24,93,22,13,3,16,45,0,54,9,101,31,34,115,4,8,72,26,51,231,68,135,58,27,15,7,137,23,11,22,14,36,16,260,63,29,0,8,102,165,2,74,46,80,44,102,29,129,20,0,9,7,28,1,63,32,4,8,3,100,6,145,4,113,28,20,34,6,223,26,16,48,5,4,10,12,18,125,3,5,3,11,7,47,85,54,13,23,173
Camden 008,E02000173,4314,78,43,284,161,14,2,7,61,2,65,6,155,55,33,153,1,11,269,41,169,170,217,320,72,12,12,12,112,10,15,21,25,19,5,248,58,16,1,11,299,187,0,63,28,73,20,54,21,99,6,0,1,1,8,0,10,8,1,4,5,40,2,56,2,41,16,14,13,8,75,15,7,19,3,0,5,1,1,16,1,1,1,2,1,11,23,16,3,12,55
Camden 009,E02000174,4592,24,27,133,17,9,1,25,53,2,54,3,134,56,49,171,7,10,98,24,37,263,108,276,153,23,18,3,189,27,14,25,19,42,15,413,100,27,2,13,139,185,1,63,62,57,44,82,32,104,17,0,6,5,23,0,54,16,2,3,10,78,14,112,2,55,64,35,26,4,162,20,12,45,7,4,3,14,17,71,7,4,2,10,3,24,52,32,10,10,124
Camden 010,E02000175,5504,24,60,259,95,9,3,15,74,0,68,8,135,56,50,228,10,17,156,44,51,282,303,467,88,28,10,20,181,15,16,25,23,42,12,232,58,23,1,19,361,355,0,105,65,94,49,88,25,126,12,1,5,9,10,0,43,28,3,4,11,65,9,86,9,60,29,39,22,2,171,27,13,56,9,8,5,2,10,43,1,4,1,3,1,26,56,26,3,8,109
Camden 011,E02000176,3928,53,34,317,113,6,6,12,52,0,42,7,147,29,35,141,3,4,169,35,25,200,250,317,79,9,10,5,122,10,5,16,19,16,8,243,57,18,0,12,334,190,0,46,31,64,24,53,21,70,9,0,0,4,14,1,14,6,0,4,2,45,3,46,3,19,20,19,27,6,60,20,4,14,3,0,4,3,1,15,1,3,0,0,3,3,19,13,8,2,51
Camden 012,E02000177,4089,16,38,148,33,12,2,13,60,1,63,7,106,34,33,117,5,9,79,24,50,184,109,207,61,22,11,8,142,13,15,12,16,32,16,210,62,28,2,11,173,178,0,57,50,64,42,83,30,115,24,3,9,9,26,1,56,8,3,6,8,68,16,122,4,70,29,37,26,4,196,26,13,47,9,1,5,6,14,91,1,3,0,11,5,35,75,46,13,13,147
Camden 013,E02000178,4881,21,33,166,31,11,1,14,47,0,90,5,119,38,60,181,4,19,95,28,44,252,190,375,78,26,10,18,135,19,10,33,16,39,14,208,49,24,4,14,230,277,1,87,47,87,58,93,18,118,11,3,5,12,20,1,59,19,4,7,4,92,13,99,13,69,23,31,25,10,201,23,17,47,5,4,7,6,18,74,8,4,1,13,3,30,94,75,7,14,173
Camden 014,E02000179,3050,26,28,164,79,6,3,6,43,0,39,4,117,21,29,77,3,5,115,30,27,136,139,202,57,9,5,9,104,9,3,8,16,23,19,215,50,13,1,13,180,144,0,43,26,65,17,55,14,55,7,1,5,1,9,1,19,13,2,0,2,27,2,51,2,32,15,24,27,6,92,11,6,28,3,1,5,2,11,48,2,0,0,5,0,9,42,23,2,3,59
Camden 015,E02000180,3989,33,31,111,16,13,6,10,41,0,58,7,118,32,35,144,5,4,99,29,35,214,98,165,101,33,11,5,134,10,20,33,10,43,11,331,77,28,2,15,134,172,0,58,53,66,43,67,19,93,14,0,5,10,22,1,35,13,3,10,9,66,12,109,3,61,26,24,15,8,178,16,18,52,10,1,9,10,14,61,3,3,3,8,10,13,40,31,4,10,176
