2011 super output area - middle layer,mnemonic,All categories: Occupation,111 Chief Executives and Senior Officials,112 Production Managers and Directors,113 Functional Managers and Directors,115 Financial Institution Managers and Directors,116 Managers and Directors in Transport and Logistics,117 Senior Officers in Protective Services,118 Health and Social Services Managers and Directors,119 Managers and Directors in Retail and Wholesale,121 Managers and Proprietors in Agriculture Related Services,122 Managers and Proprietors in Hospitality and Leisure Services,124 Managers and Proprietors in Health and Care Services,125 Managers and Proprietors in Other Services,211 Natural and Social Science Professionals,212 Engineering Professionals,213 Information Technology and Telecommunications Professionals,214 Conservation and Environment Professionals,215 Research and Development Managers,221 Health Professionals,222 Therapy Professionals,223 Nursing and Midwifery Professionals,231 Teaching and Educational Professionals,241 Legal Professionals,"242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors",244 Welfare Professionals,245 Librarians and Related Professionals,246 Quality and Regulatory Professionals,247 Media Professionals,"311 Science, Engineering and Production Technicians",312 Draughtspersons and Related Architectural Technicians,313 Information Technology Technicians,321 Health Associate Professionals,323 Welfare and Housing Associate Professionals,331 Protective Service Occupations,"341 Artistic, Literary and Media Occupations",342 Design Occupations,344 Sports and Fitness Occupations,351 Transport Associate Professionals,352 Legal Associate Professionals,"353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals",355 Conservation and Environmental associate professionals,356 Public Services and Other Associate Professionals,411 Administrative Occupations: Government and Related Organisations,412 Administrative Occupations: Finance,413 Administrative Occupations: Records,415 Other Administrative Occupations,416 Administrative Occupations: Office Managers and Supervisors,421 Secretarial and Related Occupations,511 Agricultural and Related Trades,"521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades",523 Vehicle Trades,524 Electrical and Electronic Trades,"525 Skilled Metal, Electrical and Electronic Trades Supervisors",531 Construction and Building Trades,532 Building Finishing Trades,533 Construction and Building Trades Supervisors,541 Textiles and Garments Trades,542 Printing Trades,543 Food Preparation and Hospitality Trades,544 Other Skilled Trades,612 Childcare and Related Personal Services,613 Animal Care and Control Services,614 Caring Personal Services,621 Leisure and Travel Services,622 Hairdressers and Related Services,623 Housekeeping and Related Services,624 Cleaning and Housekeeping Managers and Supervisors,711 Sales Assistants and Retail Cashiers,712 Sales Related Occupations,713 Sales Supervisors,721 Customer Service Occupations,722 Customer Service Managers and Supervisors,811 Process Operatives,812 Plant and Machine Operatives,813 Assemblers and Routine Operatives,814 Construction Operatives,821 Road Transport Drivers,822 Mobile Machine Drivers and Operatives,823 Other Drivers and Transport Operatives,911 Elementary Agricultural Occupations,912 Elementary Construction Occupations,913 Elementary Process Plant Occupations,921 Elementary Administration Occupations,923 Elementary Cleaning Occupations,924 Elementary Security Occupations,925 Elementary Sales Occupations,926 Elementary Storage Occupations,927 Other Elementary Services Occupations
Camden 001,E02000166,5193,6,39,72,8,9,0,9,34,4,45,9,114,13,13,51,4,2,100,78,147,299,30,74,49,15,20,0,67,11,7,11,21,26,6,224,44,14,0,3,35,87,14,26,13,46,32,56,17,102,26,2,11,14,15,3,54,16,6,19,1,56,16,134,0,110,41,33,47,2,48,9,4,15,1,6,6,9,11,63,6,6,1,13,4,10,47,30,5,5,90
Camden 002,E02000167,5434,22,31,82,38,16,2,5,116,0,86,12,205,19,19,65,2,1,101,58,45,182,101,105,49,22,11,2,77,6,5,5,18,17,7,287,51,25,1,13,68,132,0,19,13,72,18,52,19,154,14,1,4,4,17,0,32,9,3,8,0,108,9,137,5,76,29,95,59,3,279,14,19,18,5,4,8,5,4,24,0,15,2,7,3,66,52,26,4,14,207
Camden 003,E02000168,7402,30,106,197,10,8,3,17,68,1,77,16,139,4,55,255,3,13,39,34,30,341,75,185,240,29,8,5,145,32,49,32,12,54,45,452,129,29,2,10,84,303,0,61,29,83,40,124,72,105,16,8,16,23,42,6,88,12,17,12,12,104,7,178,2,203,27,45,20,3,110,28,7,52,8,5,8,18,43,86,42,8,2,43,6,20,63,36,1,9,178
Camden 004,E02000169,4125,12,10,64,17,2,0,4,23,0,33,5,107,5,8,40,2,1,31,16,14,314,34,67,21,12,2,1,39,7,0,6,2,6,2,135,25,47,0,4,63,88,0,12,13,17,7,48,13,62,9,0,3,1,12,0,25,6,1,0,0,37,8,143,1,49,19,18,98,5,64,5,3,6,0,2,1,2,3,15,0,1,2,1,0,2,64,15,2,8,49
Camden 005,E02000170,4036,9,33,50,2,5,0,2,29,0,37,4,88,9,22,31,0,1,46,21,13,290,17,87,27,13,3,2,46,5,0,16,7,10,99,153,33,23,0,0,37,81,0,13,12,33,19,38,13,58,9,0,5,1,10,0,64,12,1,5,1,46,6,131,9,33,8,29,25,4,72,13,2,15,0,5,6,2,11,47,1,2,1,5,3,12,53,18,2,4,54
Camden 006,E02000171,4130,7,16,76,9,7,5,4,34,0,23,3,79,23,17,92,1,4,40,23,12,152,24,83,69,12,4,9,67,8,7,20,61,31,4,218,38,15,2,1,39,103,0,26,29,29,13,33,3,57,12,0,7,4,9,0,29,13,0,1,5,34,4,138,4,77,14,17,11,2,37,8,2,48,9,2,4,1,11,70,3,2,1,5,0,8,36,20,1,1,32
Camden 007,E02000172,8404,16,54,118,16,26,2,20,105,2,53,8,160,11,20,60,8,8,30,38,31,124,33,111,53,57,9,8,69,18,14,14,20,101,290,340,88,50,1,8,47,208,0,69,49,123,49,143,29,129,18,5,24,71,37,7,100,37,6,28,18,91,19,112,4,184,28,26,36,6,158,27,18,134,10,3,11,35,14,182,5,7,0,15,16,90,124,70,9,67,83
Camden 008,E02000173,12414,31,52,151,48,9,2,160,59,2,72,22,183,397,36,127,2,22,1558,338,1706,619,31,366,49,105,29,9,59,154,6,48,136,68,30,212,52,20,2,5,164,161,0,235,34,157,234,222,67,503,5,0,16,6,36,1,43,13,4,2,3,108,8,299,6,494,18,49,76,20,152,11,8,63,19,2,8,2,21,27,0,5,1,14,3,17,190,46,8,19,188
Camden 009,E02000174,5383,12,47,90,3,4,0,10,56,1,53,14,124,8,32,60,3,6,118,44,37,117,27,84,99,60,1,3,85,17,28,7,13,59,3,323,118,17,0,8,39,126,0,16,45,69,15,92,22,108,18,0,3,4,14,1,50,20,2,22,7,41,12,80,0,70,22,20,21,0,82,16,1,21,5,0,5,9,16,53,3,1,1,13,3,7,34,7,2,3,44
Camden 010,E02000175,5897,8,43,105,11,17,0,9,95,0,90,4,194,8,20,92,3,4,61,28,24,64,35,99,23,46,2,6,51,9,4,16,19,55,58,182,44,53,1,5,62,188,0,45,26,80,29,97,17,111,8,2,22,39,32,5,86,35,7,11,1,125,6,80,6,62,34,79,20,4,294,18,20,62,18,6,7,4,9,187,5,46,1,6,5,13,84,36,23,13,185
Camden 011,E02000176,3247,13,20,85,7,6,8,1,43,0,31,3,95,1,7,50,0,0,53,20,7,260,18,79,22,14,7,1,51,6,1,2,15,23,21,191,34,11,0,1,42,55,0,22,6,41,18,33,6,52,10,0,2,3,5,1,13,4,0,2,1,40,13,87,13,16,13,35,38,2,76,1,7,12,3,0,2,2,4,13,0,1,0,1,3,0,49,7,3,5,76
Camden 012,E02000177,4970,13,32,43,8,5,0,8,53,0,46,5,84,7,26,77,0,1,40,8,12,233,14,63,39,12,8,6,62,9,4,9,9,36,20,157,43,10,0,1,21,92,0,16,18,22,7,31,24,65,9,1,4,5,23,3,41,7,1,4,0,70,12,122,3,73,21,28,13,3,92,12,7,7,1,5,2,5,7,67,1,3,0,6,5,10,44,35,2,3,99
Camden 013,E02000178,4575,4,30,43,5,10,0,8,35,1,35,7,71,8,16,65,1,7,22,10,6,115,91,77,31,20,2,1,28,2,4,15,11,38,1,145,20,12,2,11,59,57,0,26,9,46,6,50,15,63,12,4,5,43,21,1,64,19,4,7,7,48,8,85,9,46,8,33,11,4,99,8,12,7,2,3,5,5,16,55,5,3,1,11,4,12,61,25,1,14,61
